"state","week","prop_infected","prop_infected_lo","prop_infected_hi"
"TN",2021-02-27,0.281355678508565,0.26618226317114,0.31570397931709
"TN",2021-03-06,0.2839709602565,0.267210692917325,0.319001859797956
"TN",2021-03-13,0.284999676546281,0.269510388839002,0.322385694945796
"TN",2021-03-20,0.28619551520284,0.272006857904332,0.325999293099558
"TN",2021-03-27,0.287010653140823,0.27384933755252,0.329497993028458
"TN",2021-04-03,0.287114424626286,0.27411818943008,0.332455457209015
"TN",2021-04-10,0.287978475273207,0.275091228427816,0.336428787625154
"TN",2021-04-17,0.289533559690156,0.276316200776594,0.340955611062776
"TN",2021-04-24,0.290791513382327,0.277040665370795,0.345297301432175
"TN",2021-05-01,0.291481733828678,0.27748273598251,0.349433325312697
"TN",2021-05-08,0.291606798047906,0.277048097450905,0.353352788789118
"TN",2021-05-15,0.291372429683187,0.276513931917515,0.357070800827617
"TN",2021-05-22,0.290974904897059,0.275909173719736,0.360499503180687
"TN",2021-05-29,0.289954275732487,0.274904680276611,0.363578058441289
"TN",2021-06-05,0.288570078197865,0.273361959894557,0.366663007152807
"TN",2021-06-12,0.28788181026136,0.272887959039842,0.370808377184299
"TN",2021-06-19,0.286725592415058,0.271183131594486,0.374292350088035
"TN",2021-06-26,0.285325940985648,0.269607357512548,0.37752568556856
"TN",2021-07-03,0.283896767029682,0.266670946650387,0.380339600829428
"TN",2021-07-10,0.28196762727069,0.264627156523161,0.38305129898666
"TN",2021-07-17,0.280510672742196,0.262621443215873,0.386093374119237
"TN",2021-07-24,0.279980488162238,0.261670640783903,0.390109874198546
"TN",2021-07-31,0.280639702268028,0.262234590884387,0.394952752090291
"TN",2021-08-07,0.283123053252289,0.265291409734961,0.4012519049556
"TN",2021-08-14,0.287091988043525,0.269580746683818,0.40889230823543
"TN",2021-08-21,0.294209908616414,0.276614620360323,0.419618439937649
"TN",2021-08-28,0.305000317549266,0.287145291948956,0.434127808728081
"TN",2021-09-04,0.318578018837046,0.300319040964276,0.45169441847553
